,count,mean,std,min,25%,50%,75%,max
height_in_cm,32618.0,182.39631491814336,6.833923623845213,18.0,178.0,183.0,187.0,210.0
age_at_valuation,32618.0,27.6934154386397,5.365562810931838,14.910335386721425,23.225188227241617,27.416837782340863,32.00547570157426,45.36892539356605
valuation_year,32618.0,2022.2660800784843,3.075944897318338,2005.0,2021.0,2023.0,2025.0,2026.0
years_left_on_contract_at_valuation,32618.0,1.02675212944533,1.4613805188552769,0.0,0.0,0.5010266940451745,1.5468856947296372,14.505133470225873
career_appearances,32618.0,52.290575755717704,79.86138424926125,0.0,1.0,17.0,69.0,598.0
career_goals,32618.0,5.026273836531976,15.189823503272995,0.0,0.0,0.0,3.0,475.0
career_assists,32618.0,3.956435097185603,10.162220260070729,0.0,0.0,0.0,3.0,224.0
career_minutes,32618.0,3611.3833159605124,5939.204847402308,0.0,28.0,908.5,4595.0,49277.0
career_yellow_cards,32618.0,7.687626463915629,13.682293132180071,0.0,0.0,2.0,9.0,147.0
career_red_cards,32618.0,0.19832607762585075,0.5610211423780073,0.0,0.0,0.0,0.0,7.0
recent_appearances,32618.0,5.290545097798762,9.16286888005135,0.0,0.0,0.0,8.0,61.0
recent_goals,32618.0,0.42455086148752225,1.5521394727951754,0.0,0.0,0.0,0.0,46.0
recent_assists,32618.0,0.3302164449077197,1.0842182826721072,0.0,0.0,0.0,0.0,29.0
recent_minutes,32618.0,331.6522778833773,642.660688344839,0.0,0.0,0.0,360.0,5154.0
career_goals_per_90,32618.0,0.0898519705502966,0.4154709259709606,0.0,0.0,0.0,0.09841753854270989,45.0
recent_goals_per_90,32618.0,0.042817845351363626,0.24926708074110498,0.0,0.0,0.0,0.0,22.5
is_veteran,32618.0,0.1483230118339567,0.35542533522888525,0.0,0.0,0.0,0.0,1.0
peak_age_decay,32618.0,0.9848283171228275,1.9364138822158727,0.0,0.0,0.0,1.0054757015742624,14.368925393566052
age_contract_fragility,32618.0,7.258474194852397,16.968233939091338,0.0,0.0,0.0,1.7735847865127319,127.39904175222449
squad_size,29798.0,25.448754949996644,7.627598665093269,0.0,25.0,27.0,29.0,41.0
average_age,28055.0,25.652657280342183,2.0877176267717514,0.0,24.8,25.8,26.8,29.2
foreigners_number,29798.0,12.734545942680716,6.621593197488118,0.0,8.0,14.0,17.0,28.0
foreigners_percentage,27355.0,50.54568451836958,19.57290520201309,2.4,36.7,52.0,65.5,100.0
national_team_players,29798.0,5.20930934962078,4.860518972485825,0.0,1.0,4.0,8.0,23.0
stadium_seats,29798.0,24539.806698436136,17291.9385064085,0.0,10830.0,20250.0,32500.0,83186.0
previous_market_value,32618.0,1703913.023483966,6441326.141381539,10000.0,125000.0,300000.0,775000.0,200000000.0
fifa_reputation,32618.0,1.0962045496351707,0.36670578300422274,1.0,1.0,1.0,1.0,5.0
potential_growth,32618.0,2.7339199215157275,4.613636213935429,0.0,0.0,0.0,5.0,26.0
target_market_value,32618.0,1670452.9707523454,6452516.287723577,10000.0,100000.0,250000.0,700000.0,200000000.0
